INFO  | 01/03/2023 12:14:39 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000003 = 0.08336935937404633
INFO  | 01/03/2023 12:14:40 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000004 = 0.08337688446044922
INFO  | 01/03/2023 12:14:42 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000005 = 0.0833824872970581
INFO  | 01/03/2023 12:14:43 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000006 = 0.08338503539562225
INFO  | 01/03/2023 12:14:45 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000007 = 0.08338425308465958
INFO  | 01/03/2023 12:14:46 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000008 = 0.08338052779436111
INFO  | 01/03/2023 12:14:48 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000009 = 0.08337479084730148
INFO  | 01/03/2023 12:14:49 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000010 = 0.08336825668811798
INFO  | 01/03/2023 12:14:51 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000011 = 0.08336207270622253
INFO  | 01/03/2023 12:14:52 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000012 = 0.08335713297128677
INFO  | 01/03/2023 12:14:54 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000013 = 0.08335401117801666
INFO  | 01/03/2023 12:14:55 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000014 = 0.08335278183221817
INFO  | 01/03/2023 12:14:57 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0005 iteration 00000015 = 0.0833531841635704
INFO  | 01/03/2023 12:14:59 AM | File ctrnn_runner.py      | Line 149   | Validation Loss @ epoch 0005 = 0.08335465006530285
INFO  | 01/03/2023 12:14:59 AM | File ctrnn_runner.py      | Line 157   | Saving Snapshot @ epoch 0005
INFO  | 01/03/2023 12:14:59 AM | File ctrnn_runner.py      | Line 166   | Avg training Loss @ the end of epoch 0005 = 0.08336712419986725
INFO  | 01/03/2023 12:15:01 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000000 = 0.0833546444773674
INFO  | 01/03/2023 12:15:03 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000001 = 0.08335655182600021
INFO  | 01/03/2023 12:15:05 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000002 = 0.0833582729101181
INFO  | 01/03/2023 12:15:06 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000003 = 0.08335936069488525
INFO  | 01/03/2023 12:15:07 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000004 = 0.08335956931114197
INFO  | 01/03/2023 12:15:09 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000005 = 0.08335890620946884
INFO  | 01/03/2023 12:15:10 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000006 = 0.08335753530263901
INFO  | 01/03/2023 12:15:12 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000007 = 0.08335578441619873
INFO  | 01/03/2023 12:15:14 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000008 = 0.08335396647453308
INFO  | 01/03/2023 12:15:15 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000009 = 0.08335238695144653
INFO  | 01/03/2023 12:15:17 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000010 = 0.083351269364357
INFO  | 01/03/2023 12:15:19 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000011 = 0.08335067331790924
INFO  | 01/03/2023 12:15:20 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000012 = 0.08335056155920029
INFO  | 01/03/2023 12:15:22 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000013 = 0.0833507850766182
INFO  | 01/03/2023 12:15:23 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000014 = 0.08335117250680923
INFO  | 01/03/2023 12:15:24 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0006 iteration 00000015 = 0.08335153013467789
INFO  | 01/03/2023 12:15:27 AM | File ctrnn_runner.py      | Line 149   | Validation Loss @ epoch 0006 = 0.08335171826183796
INFO  | 01/03/2023 12:15:27 AM | File ctrnn_runner.py      | Line 157   | Saving Snapshot @ epoch 0006
INFO  | 01/03/2023 12:15:27 AM | File ctrnn_runner.py      | Line 166   | Avg training Loss @ the end of epoch 0006 = 0.08335456065833569
INFO  | 01/03/2023 12:15:29 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0007 iteration 00000000 = 0.08335172384977341
INFO  | 01/03/2023 12:15:30 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0007 iteration 00000001 = 0.08335167914628983
