INFO  | 01/03/2023 12:34:09 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0004 iteration 00000015 = 0.08333021402359009
INFO  | 01/03/2023 12:34:14 PM | File ctrnn_runner.py      | Line 150   | Validation Loss @ epoch 0004 = 0.08333414420485497
INFO  | 01/03/2023 12:34:14 PM | File ctrnn_runner.py      | Line 162   | No better result @ epoch 0004, model isn't saved!
INFO  | 01/03/2023 12:34:14 PM | File ctrnn_runner.py      | Line 167   | Avg training Loss @ the end of epoch 0004 = 0.08334009861573577
INFO  | 01/03/2023 12:34:17 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000000 = 0.08333414047956467
INFO  | 01/03/2023 12:34:20 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000001 = 0.08333468437194824
INFO  | 01/03/2023 12:34:23 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000002 = 0.08333148062229156
INFO  | 01/03/2023 12:34:26 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000003 = 0.08332710713148117
INFO  | 01/03/2023 12:34:28 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000004 = 0.08332466334104538
INFO  | 01/03/2023 12:34:31 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000005 = 0.08332523703575134
INFO  | 01/03/2023 12:34:34 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000006 = 0.08332738280296326
INFO  | 01/03/2023 12:34:37 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000007 = 0.0833287164568901
INFO  | 01/03/2023 12:34:40 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000008 = 0.08332792669534683
INFO  | 01/03/2023 12:34:43 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000009 = 0.08332560211420059
INFO  | 01/03/2023 12:34:46 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000010 = 0.08332351595163345
INFO  | 01/03/2023 12:34:49 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000011 = 0.08332297205924988
INFO  | 01/03/2023 12:34:52 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000012 = 0.08332376182079315
INFO  | 01/03/2023 12:34:55 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000013 = 0.08332468569278717
INFO  | 01/03/2023 12:34:58 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000014 = 0.0833246186375618
INFO  | 01/03/2023 12:35:01 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0005 iteration 00000015 = 0.08332348614931107
INFO  | 01/03/2023 12:35:06 PM | File ctrnn_runner.py      | Line 150   | Validation Loss @ epoch 0005 = 0.08332209475338459
INFO  | 01/03/2023 12:35:06 PM | File ctrnn_runner.py      | Line 158   | Saving Snapshot @ epoch 0005
INFO  | 01/03/2023 12:35:06 PM | File ctrnn_runner.py      | Line 167   | Avg training Loss @ the end of epoch 0005 = 0.08332687383517623
INFO  | 01/03/2023 12:35:09 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000000 = 0.08332209289073944
INFO  | 01/03/2023 12:35:12 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0006 iteration 00000001 = 0.08332137018442154
